end,parent,service,meter,start,key,unit,quantity
2013-08-26T00:00:00,5646620347596800,Electricity,39523049,2013-07-24T00:00:00,6192449487634432,kwh,961.0
2014-01-10T00:00:00,5647648723828736,Electricity,,2013-12-10T00:00:00,5629499534213120,kwh,1560.0
2013-03-31T00:00:00,5648554290839552,Trash,,2013-03-01T00:00:00,5629499534213120,yd,2.0
2012-11-09T00:00:00,5649050225344512,Electricity,ACCT:433803-179085,2012-10-10T00:00:00,5629499534213120,kwh,579.0
2011-09-06T00:00:00,5649202965118976,Natural Gas,20193729,2011-08-09T00:00:00,5629499534213120,therm,0.0
2015-02-28T00:00:00,5649391675244544,Trash,,2015-02-01T00:00:00,5629499534213120,yd,2.0
2014-07-14T00:00:00,5649521866440704,Natural Gas,M19951081349,2014-06-11T00:00:00,5629499534213120,therm,0.0
2015-03-31T00:00:00,5649952705347584,Trash,Waste,2015-03-01T00:00:00,5066549580791808,gallon,96.0
2015-03-31T00:00:00,5649952705347584,Trash,Recycle,2015-03-01T00:00:00,5629499534213120,gallon,96.0
2013-04-26T00:00:00,5650665401483264,Waste Water,,2013-03-25T00:00:00,4785074604081152,cf,0.0
2013-04-26T00:00:00,5650665401483264,Water,6106456,2013-03-25T00:00:00,5066549580791808,c.f,0.0
2013-04-26T00:00:00,5650665401483264,Trash,Trash-no usage shown,2013-03-25T00:00:00,5629499534213120,yd,0.0
2013-04-26T00:00:00,5650665401483264,Electricity,39523049,2013-03-25T00:00:00,5910974510923776,kwh,751.0
2013-04-26T00:00:00,5650665401483264,Street Light,Street-Light,2013-03-25T00:00:00,6192449487634432,kwh,0.0
2013-10-31T00:00:00,5651124426113024,Trash,,2013-10-01T00:00:00,5629499534213120,yd,2.0
2013-08-01T00:00:00,5652383656837120,Electricity,,2013-07-02T00:00:00,5066549580791808,w,100.0
2013-08-01T00:00:00,5652383656837120,Electricity,ACCT433803-179083,2013-07-02T00:00:00,5629499534213120,kwh,1350.0
2011-04-07T00:00:00,5652720409116672,Natural Gas,20193729,2011-03-09T00:00:00,5629499534213120,therm,460.0
2014-02-12T00:00:00,5652786310021120,Electricity,ACCT:433803-179083,2014-01-03T00:00:00,5629499534213120,kwh,1430.0
2013-07-08T00:00:00,5654153720233984,Natural Gas,20193729,2013-06-06T00:00:00,5629499534213120,therm,0.0
2014-07-31T00:00:00,5654313976201216,Trash,,2014-07-01T00:00:00,5629499534213120,yd,2.0
2015-07-15T00:00:00,5655638436741120,Electricity,14042180-demand,2015-06-15T00:00:00,5066549580791808,kw,187.0
2015-07-15T00:00:00,5655638436741120,Electricity,14042180,2015-06-15T00:00:00,5629499534213120,kwh,69900.0
2014-05-05T00:00:00,5655869022797824,Electricity,,2014-04-08T00:00:00,5066549580791808,w,100.0
2014-05-05T00:00:00,5655869022797824,Electricity,ACCT433803-179083,2014-04-08T00:00:00,5629499534213120,kwh,960.0
2015-04-29T00:00:00,5655980960382976,Street Light,Street-Light,2015-03-27T00:00:00,4785074604081152,kwh,0.0
2015-04-29T00:00:00,5655980960382976,Water,6106456,2015-03-27T00:00:00,5066549580791808,c.f,0.0
2015-04-29T00:00:00,5655980960382976,Electricity,39523049,2015-03-27T00:00:00,5629499534213120,kwh,429.0
2015-04-29T00:00:00,5655980960382976,Trash,Trash-no usage shown,2015-03-27T00:00:00,5910974510923776,yd,0.0
2015-04-29T00:00:00,5655980960382976,Waste Water,,2015-03-27T00:00:00,6192449487634432,cf,0.0
2012-06-12T00:00:00,5656058538229760,Electricity,ACCT433803-179085,2012-05-08T00:00:00,5629499534213120,kwh,302.0
